Constituency,Ac No,Const. Type,Cand Age,Cand Category,Cand Name,Gender,Cand Sl No,% of Vote Share,"""Candidate Count""",Total Votes (Overall),State Filter,Margin Bands,LOD: Cand Votes Polled,Cand Votes as % of Total Const Votes,winner count,Age Band,Candidate_Position (copy),Candidate_Position (group),Candidate Position,Count of Candidates (SNo),LOD: Const Votes Polled,Partyabbre,Partytype,Party Name,St Code,State,Total Votes Polled,Total Votes Polled (R),Year,Margin
Cortalim,27,GEN,54,GEN,Ramakant Borkar,Male,7,0.19%,Candidate Count,916216,TRUE,Upto 100,1708,7%,0,51-60,6,Lost,6,1,23486,UGP,Unrecognised,United Goans Party,S05,Goa,1708,1708,2017,0
Velim,35,GEN,45,GEN,Domnic John Noronha,Male,7,0.02%,Candidate Count,916216,TRUE,Upto 100,138,1%,0,41-45,9,Lost,9,1,23527,GSRP,Unrecognised,Goa Su-Raj Party,S05,Goa,138,138,2017,0
Cortalim,27,GEN,40,GEN,Sharan Meti,Male,8,0.03%,Candidate Count,916216,TRUE,Upto 100,258,1%,0,36-40,7,Lost,7,1,23486,GSRP,Unrecognised,Goa Su-Raj Party,S05,Goa,258,258,2017,0
Taleigao,12,GEN,37,GEN,Vijay V. More,Male,4,0.01%,Candidate Count,916216,TRUE,Upto 100,115,1%,0,36-40,5,Lost,5,1,22556,IND,Independent,Independent,S05,Goa,115,115,2017,0
Cumbarjua,15,GEN,45,GEN,Prasad Harmalkar,Male,4,0.05%,Candidate Count,916216,TRUE,Upto 100,468,2%,0,41-45,5,Lost,5,1,20556,IND,Independent,Independent,S05,Goa,468,468,2017,0
Priol,20,GEN,45,GEN,Govind Gaude,Male,4,1.65%,Candidate Count,916216,TRUE,2001-5000,15149,56%,1,41-45,1,Won,1,1,26945,IND,Independent,Independent,S05,Goa,15149,10463,2017,"4,686"
Sanvordem,38,GEN,52,GEN,Balkrishna Marathe,Male,4,0.02%,Candidate Count,916216,TRUE,Upto 100,152,1%,0,51-60,5,Lost,5,1,25377,IND,Independent,Independent,S05,Goa,152,152,2017,0
Porvorim,9,GEN,42,GEN,Rohan Khaunte,Male,5,1.22%,Candidate Count,916216,TRUE,2001-5000,11174,57%,1,41-45,1,Won,1,1,19656,IND,Independent,Independent,S05,Goa,11174,6961,2017,"4,213"
Cumbarjua,15,GEN,43,GEN,Vishal Shambu Volvoikar,Male,5,0.11%,Candidate Count,916216,TRUE,Upto 100,990,5%,0,41-45,4,Lost,4,1,20556,IND,Independent,Independent,S05,Goa,990,990,2017,0
Poriem,18,GEN,42,GEN,Ajit Sadanand Mhalshekar,Male,5,0.03%,Candidate Count,916216,TRUE,Upto 100,284,1%,0,41-45,6,Lost,6,1,27596,IND,Independent,Independent,S05,Goa,284,284,2017,0
Ponda,21,GEN,42,GEN,Rajesh Verekar,Male,5,0.49%,Candidate Count,916216,TRUE,Upto 100,4529,18%,0,41-45,3,Lost,3,1,25095,IND,Independent,Independent,S05,Goa,4529,4529,2017,0
Marcaim,23,GEN,49,GEN,Hanumant Vasant Naik,Male,5,0.03%,Candidate Count,916216,TRUE,Upto 100,244,1%,0,46-50,6,Lost,6,1,23356,IND,Independent,Independent,S05,Goa,244,244,2017,0
Nuvem,28,GEN,58,GEN,Dinesh Bandodkar,Male,5,0.07%,Candidate Count,916216,TRUE,Upto 100,664,3%,0,51-60,5,Lost,5,1,21447,IND,Independent,Independent,S05,Goa,664,664,2017,0
Curtorim,29,GEN,56,GEN,Jose Paulo Fernandes,Male,5,0.01%,Candidate Count,916216,TRUE,Upto 100,118,1%,0,51-60,6,Lost,6,1,21303,IND,Independent,Independent,S05,Goa,118,118,2017,0
Navelim,33,GEN,50,GEN,Avertano Furtado,Male,5,0.62%,Candidate Count,916216,TRUE,Upto 100,5705,27%,0,46-50,2,Lost,2,1,21351,IND,Independent,Independent,S05,Goa,5705,5705,2017,0
Porvorim,9,GEN,51,GEN,Wilbur Fredrick Ticlo,Male,6,0.02%,Candidate Count,916216,TRUE,2001-5000,144,1%,0,51-60,6,Lost,6,1,19656,IND,Independent,Independent,S05,Goa,144,144,2017,"4,213"
Aldona,10,GEN,58,GEN,Anandrao Narayanrao Nagvenkar,Male,6,0.07%,Candidate Count,916216,TRUE,Upto 100,643,3%,0,51-60,5,Lost,5,1,21606,IND,Independent,Independent,S05,Goa,643,643,2017,0
Panaji,11,GEN,53,GEN,Dilip Ghadi,Male,6,0.00%,Candidate Count,916216,TRUE,Upto 100,36,0%,0,51-60,7,Lost,7,1,17339,IND,Independent,Independent,S05,Goa,36,36,2017,0
Maem,16,GEN,57,GEN,Ashok Anant Gaonkar,Male,6,0.02%,Candidate Count,916216,TRUE,Upto 100,142,1%,0,51-60,9,Lost,9,1,24108,IND,Independent,Independent,S05,Goa,142,142,2017,0
Siroda,22,GEN,35,GEN,Nilesh Govind Gaonkar,Male,6,0.05%,Candidate Count,916216,TRUE,Upto 100,447,2%,0,31-35,5,Lost,5,1,24624,IND,Independent,Independent,S05,Goa,447,447,2017,0
Mormugao,24,GEN,35,GEN,Parashuram Umaji Sonurlekar,Male,6,0.01%,Candidate Count,916216,TRUE,Upto 100,48,0%,0,31-35,6,Lost,6,1,17340,IND,Independent,Independent,S05,Goa,48,48,2017,0
Fatorda,30,GEN,41,GEN,Avin Vishwanath Naik,Male,6,0.01%,Candidate Count,916216,TRUE,Upto 100,72,0%,0,41-45,7,Lost,7,1,23038,IND,Independent,Independent,S05,Goa,72,72,2017,0
Benaulim,32,GEN,57,GEN,Caetano Rosario Silva,Male,6,0.44%,Candidate Count,916216,TRUE,Upto 100,3995,19%,0,51-60,3,Lost,3,1,21314,IND,Independent,Independent,S05,Goa,3995,3995,2017,0
Navelim,33,GEN,50,GEN,Duarte Pires,Male,6,0.03%,Candidate Count,916216,TRUE,Upto 100,263,1%,0,46-50,7,Lost,7,1,21351,IND,Independent,Independent,S05,Goa,263,263,2017,0
Cuncolim,34,GEN,49,GEN,Derick Dias,Male,6,0.01%,Candidate Count,916216,TRUE,Upto 100,111,0%,0,46-50,8,Lost,8,1,22440,IND,Independent,Independent,S05,Goa,111,111,2017,0
Sanguem,39,GEN,40,GEN,Dattaprasad Sawardekar,Male,6,0.11%,Candidate Count,916216,TRUE,101-1000,989,4%,0,36-40,4,Lost,4,1,22683,IND,Independent,Independent,S05,Goa,989,989,2017,937
Mandrem,1,GEN,70,GEN,Sanjay Krishnarao Prabhu Desai,Male,7,0.01%,Candidate Count,916216,TRUE,Upto 100,101,0%,0,61-70,7,Lost,7,1,27966,IND,Independent,Independent,S05,Goa,101,101,2017,0
Mapusa,5,GEN,62,GEN,Domnic Alphonso,Male,7,0.17%,Candidate Count,916216,TRUE,Upto 100,1543,7%,0,61-70,5,Lost,5,1,22764,IND,Independent,Independent,S05,Goa,1543,1543,2017,0
Siolim,6,GEN,36,GEN,Mukesh Sawant,Male,7,0.01%,Candidate Count,916216,TRUE,Upto 100,73,0%,0,36-40,9,Lost,9,1,23496,IND,Independent,Independent,S05,Goa,73,73,2017,0
Panaji,11,GEN,38,GEN,Parshuram Dodamani,Male,7,0.00%,Candidate Count,916216,TRUE,Upto 100,20,0%,0,36-40,8,Lost,8,1,17339,IND,Independent,Independent,S05,Goa,20,20,2017,0
St. Andre,14,GEN,30,GEN,Ashwin Menino Rosario,Male,7,0.00%,Candidate Count,916216,TRUE,Upto 100,29,0%,0,Upto 30,11,Lost,11,1,16554,IND,Independent,Independent,S05,Goa,29,29,2017,0
Maem,16,GEN,34,GEN,Deepkumar D Mapari,Male,7,0.02%,Candidate Count,916216,TRUE,Upto 100,159,1%,0,31-35,8,Lost,8,1,24108,IND,Independent,Independent,S05,Goa,159,159,2017,0
Sanquelim,17,GEN,43,GEN,Mahesh Shantaram Parab,Male,7,0.02%,Candidate Count,916216,TRUE,Upto 100,218,1%,0,41-45,7,Lost,7,1,23700,IND,Independent,Independent,S05,Goa,218,218,2017,0
Vasco-da-gama,25,GEN,68,GEN,Gandhi Henriques,Male,7,0.01%,Candidate Count,916216,TRUE,Upto 100,77,0%,0,61-70,8,Lost,8,1,26099,IND,Independent,Independent,S05,Goa,77,77,2017,0
Dabolim,26,GEN,34,GEN,Kenneth Ian Stewart Silveira,Male,7,0.01%,Candidate Count,916216,TRUE,Upto 100,130,1%,0,31-35,7,Lost,7,1,17473,IND,Independent,Independent,S05,Goa,130,130,2017,0
Navelim,33,GEN,48,GEN,Edwin Cardozo (Cipru),Male,7,0.33%,Candidate Count,916216,TRUE,Upto 100,3027,14%,0,46-50,3,Lost,3,1,21351,IND,Independent,Independent,S05,Goa,3027,3027,2017,0
Cuncolim,34,GEN,60,GEN,Joaquim Alemao,Male,7,0.70%,Candidate Count,916216,TRUE,Upto 100,6382,28%,0,51-60,2,Lost,2,1,22440,IND,Independent,Independent,S05,Goa,6382,6382,2017,0
Siolim,6,GEN,45,GEN,Patrick Savio Almeida,Male,8,0.16%,Candidate Count,916216,TRUE,Upto 100,1497,6%,0,41-45,4,Lost,4,1,23496,IND,Independent,Independent,S05,Goa,1497,1497,2017,0
St. Cruz,13,GEN,43,GEN,Jose Lopes,Male,8,0.01%,Candidate Count,916216,TRUE,Upto 100,61,0%,0,41-45,10,Lost,10,1,22215,IND,Independent,Independent,S05,Goa,61,61,2017,0
St. Andre,14,GEN,45,GEN,Dhaku Arjun Madkaikar,Male,8,0.14%,Candidate Count,916216,TRUE,Upto 100,1285,8%,0,41-45,4,Lost,4,1,16554,IND,Independent,Independent,S05,Goa,1285,1285,2017,0
Maem,16,GEN,46,GEN,Prabhakar Laximan Gaonkar,Male,8,0.02%,Candidate Count,916216,TRUE,Upto 100,174,1%,0,46-50,7,Lost,7,1,24108,IND,Independent,Independent,S05,Goa,174,174,2017,0
Vasco-da-gama,25,GEN,46,GEN,Krishna (Daji) V Salkar,Male,8,0.81%,Candidate Count,916216,TRUE,Upto 100,7414,28%,0,46-50,2,Lost,2,1,26099,IND,Independent,Independent,S05,Goa,7414,7414,2017,0
Dabolim,26,GEN,30,GEN,Preetam Keluskar,Male,8,0.01%,Candidate Count,916216,TRUE,Upto 100,109,1%,0,Upto 30,9,Lost,9,1,17473,IND,Independent,Independent,S05,Goa,109,109,2017,0
Velim,35,GEN,50,GEN,Benjamin Silva,Male,8,0.56%,Candidate Count,916216,TRUE,Upto 100,5164,22%,0,46-50,2,Lost,2,1,23527,IND,Independent,Independent,S05,Goa,5164,5164,2017,0
St. Cruz,13,GEN,55,GEN,Rodolfo Louis Fernandes,Male,9,0.57%,Candidate Count,916216,TRUE,Upto 100,5262,24%,0,51-60,3,Lost,3,1,22215,IND,Independent,Independent,S05,Goa,5262,5262,2017,0
St. Andre,14,GEN,65,GEN,Simao Aleixo Caiado,Male,9,0.02%,Candidate Count,916216,TRUE,Upto 100,143,1%,0,61-70,8,Lost,8,1,16554,IND,Independent,Independent,S05,Goa,143,143,2017,0
Cortalim,27,GEN,52,GEN,Antonio Vas,Male,9,0.56%,Candidate Count,916216,TRUE,Upto 100,5148,22%,0,51-60,2,Lost,2,1,23486,IND,Independent,Independent,S05,Goa,5148,5148,2017,0
Velim,35,GEN,49,GEN,Constancio Fernandes,Male,9,0.01%,Candidate Count,916216,TRUE,Upto 100,79,0%,0,46-50,12,Lost,12,1,23527,IND,Independent,Independent,S05,Goa,79,79,2017,0
St. Andre,14,GEN,30,GEN,Sunil Savlo Kerkar,Male,10,0.01%,Candidate Count,916216,TRUE,Upto 100,97,1%,0,Upto 30,9,Lost,9,1,16554,IND,Independent,Independent,S05,Goa,97,97,2017,0
Cortalim,27,GEN,41,GEN,Miguel Antonio Rodrigues,Male,10,0.02%,Candidate Count,916216,TRUE,Upto 100,177,1%,0,41-45,9,Lost,9,1,23486,IND,Independent,Independent,S05,Goa,177,177,2017,0
Velim,35,GEN,42,GEN,Edrich Correia,Male,10,0.04%,Candidate Count,916216,TRUE,Upto 100,335,1%,0,41-45,6,Lost,6,1,23527,IND,Independent,Independent,S05,Goa,335,335,2017,0
Velim,35,GEN,40,GEN,Jose Fernandes,Male,11,0.03%,Candidate Count,916216,TRUE,Upto 100,236,1%,0,36-40,8,Lost,8,1,23527,IND,Independent,Independent,S05,Goa,236,236,2017,0
Velim,35,GEN,70,GEN,Wilson Mazarello,Male,12,0.01%,Candidate Count,916216,TRUE,Upto 100,98,0%,0,61-70,11,Lost,11,1,23527,IND,Independent,Independent,S05,Goa,98,98,2017,0
Calangute,8,GEN,,NULL,None Of The Above,NOTA,4,0.02%,Candidate Count,916216,TRUE,Upto 100,172,1%,0,>70,4,Lost,4,1,20084,NOTA,NOTA,None of the Above,S05,Goa,172,172,2017,0
Tivim,4,GEN,,NULL,None Of The Above,NOTA,5,0.02%,Candidate Count,916216,TRUE,Upto 100,179,1%,0,>70,5,Lost,5,1,22560,NOTA,NOTA,None of the Above,S05,Goa,179,179,2017,0
Taleigao,12,GEN,,NULL,None Of The Above,NOTA,5,0.03%,Candidate Count,916216,TRUE,Upto 100,252,1%,0,>70,4,Lost,4,1,22556,NOTA,NOTA,None of the Above,S05,Goa,252,252,2017,0
Valpoi,19,GEN,,NULL,None Of The Above,NOTA,5,0.04%,Candidate Count,916216,TRUE,Upto 100,362,1%,0,>70,5,Lost,5,1,25326,NOTA,NOTA,None of the Above,S05,Goa,362,362,2017,0
Priol,20,GEN,,NULL,None Of The Above,NOTA,5,0.05%,Candidate Count,916216,TRUE,Upto 100,448,2%,0,>70,4,Lost,4,1,26945,NOTA,NOTA,None of the Above,S05,Goa,448,448,2017,0
Margao,31,GEN,,NULL,None Of The Above,NOTA,5,0.03%,Candidate Count,916216,TRUE,Upto 100,271,1%,0,>70,4,Lost,4,1,22353,NOTA,NOTA,None of the Above,S05,Goa,271,271,2017,0
Curchorem,37,GEN,,NULL,None Of The Above,NOTA,5,0.03%,Candidate Count,916216,TRUE,Upto 100,290,1%,0,>70,5,Lost,5,1,21668,NOTA,NOTA,None of the Above,S05,Goa,290,290,2017,0
Sanvordem,38,GEN,,NULL,None Of The Above,NOTA,5,0.03%,Candidate Count,916216,TRUE,Upto 100,305,1%,0,>70,4,Lost,4,1,25377,NOTA,NOTA,None of the Above,S05,Goa,305,305,2017,0
Bicholim,3,GEN,,NULL,None Of The Above,NOTA,6,0.02%,Candidate Count,916216,TRUE,Upto 100,221,1%,0,>70,6,Lost,6,1,23306,NOTA,NOTA,None of the Above,S05,Goa,221,221,2017,0
Cumbarjua,15,GEN,,NULL,None Of The Above,NOTA,6,0.04%,Candidate Count,916216,TRUE,Upto 100,348,2%,0,>70,6,Lost,6,1,20556,NOTA,NOTA,None of the Above,S05,Goa,348,348,2017,0
Poriem,18,GEN,,NULL,None Of The Above,NOTA,6,0.06%,Candidate Count,916216,TRUE,Upto 100,552,2%,0,>70,3,Lost,3,1,27596,NOTA,NOTA,None of the Above,S05,Goa,552,552,2017,0
Ponda,21,GEN,,NULL,None Of The Above,NOTA,6,0.03%,Candidate Count,916216,TRUE,Upto 100,254,1%,0,>70,6,Lost,6,1,25095,NOTA,NOTA,None of the Above,S05,Goa,254,254,2017,0
Marcaim,23,GEN,,NULL,None Of The Above,NOTA,6,0.04%,Candidate Count,916216,TRUE,Upto 100,376,2%,0,>70,5,Lost,5,1,23356,NOTA,NOTA,None of the Above,S05,Goa,376,376,2017,0
Nuvem,28,GEN,,NULL,None Of The Above,NOTA,6,0.03%,Candidate Count,916216,TRUE,Upto 100,240,1%,0,>70,6,Lost,6,1,21447,NOTA,NOTA,None of the Above,S05,Goa,240,240,2017,0
Curtorim,29,GEN,,NULL,None Of The Above,NOTA,6,0.03%,Candidate Count,916216,TRUE,Upto 100,249,1%,0,>70,4,Lost,4,1,21303,NOTA,NOTA,None of the Above,S05,Goa,249,249,2017,0
Quepem,36,GEN,,NULL,None Of The Above,NOTA,6,0.04%,Candidate Count,916216,TRUE,Upto 100,357,1%,0,>70,4,Lost,4,1,26662,NOTA,NOTA,None of the Above,S05,Goa,357,357,2017,0
Canacona,40,GEN,,NULL,None Of The Above,NOTA,6,0.03%,Candidate Count,916216,TRUE,Upto 100,302,1%,0,>70,6,Lost,6,1,28489,NOTA,NOTA,None of the Above,S05,Goa,302,302,2017,0
Saligao,7,GEN,,NULL,None Of The Above,NOTA,7,0.02%,Candidate Count,916216,TRUE,Upto 100,171,1%,0,>70,6,Lost,6,1,21028,NOTA,NOTA,None of the Above,S05,Goa,171,171,2017,0
Porvorim,9,GEN,,NULL,None Of The Above,NOTA,7,0.02%,Candidate Count,916216,TRUE,Upto 100,176,1%,0,>70,5,Lost,5,1,19656,NOTA,NOTA,None of the Above,S05,Goa,176,176,2017,0
Aldona,10,GEN,,NULL,None Of The Above,NOTA,7,0.02%,Candidate Count,916216,TRUE,Upto 100,196,1%,0,>70,6,Lost,6,1,21606,NOTA,NOTA,None of the Above,S05,Goa,196,196,2017,0
Siroda,22,GEN,,NULL,None Of The Above,NOTA,7,0.02%,Candidate Count,916216,TRUE,Upto 100,194,1%,0,>70,6,Lost,6,1,24624,NOTA,NOTA,None of the Above,S05,Goa,194,194,2017,0
Mormugao,24,GEN,,NULL,None Of The Above,NOTA,7,0.02%,Candidate Count,916216,TRUE,Upto 100,151,1%,0,>70,4,Lost,4,1,17340,NOTA,NOTA,None of the Above,S05,Goa,151,151,2017,0
Fatorda,30,GEN,,NULL,None Of The Above,NOTA,7,0.02%,Candidate Count,916216,TRUE,Upto 100,220,1%,0,>70,5,Lost,5,1,23038,NOTA,NOTA,None of the Above,S05,Goa,220,220,2017,0
Mandrem,1,GEN,,NULL,None Of The Above,NOTA,8,0.05%,Candidate Count,916216,TRUE,Upto 100,415,1%,0,>70,5,Lost,5,1,27966,NOTA,NOTA,None of the Above,S05,Goa,415,415,2017,0
Mapusa,5,GEN,,NULL,None Of The Above,NOTA,8,0.04%,Candidate Count,916216,TRUE,Upto 100,409,2%,0,>70,6,Lost,6,1,22764,NOTA,NOTA,None of the Above,S05,Goa,409,409,2017,0
Panaji,11,GEN,,NULL,None Of The Above,NOTA,8,0.02%,Candidate Count,916216,TRUE,Upto 100,175,1%,0,>70,5,Lost,5,1,17339,NOTA,NOTA,None of the Above,S05,Goa,175,175,2017,0
Sanquelim,17,GEN,,NULL,None Of The Above,NOTA,8,0.04%,Candidate Count,916216,TRUE,Upto 100,329,1%,0,>70,6,Lost,6,1,23700,NOTA,NOTA,None of the Above,S05,Goa,329,329,2017,0
Benaulim,32,GEN,,NULL,None Of The Above,NOTA,8,0.02%,Candidate Count,916216,TRUE,Upto 100,187,1%,0,>70,8,Lost,8,1,21314,NOTA,NOTA,None of the Above,S05,Goa,187,187,2017,0
Navelim,33,GEN,,NULL,None Of The Above,NOTA,8,0.03%,Candidate Count,916216,TRUE,Upto 100,249,1%,0,>70,8,Lost,8,1,21351,NOTA,NOTA,None of the Above,S05,Goa,249,249,2017,0
Cuncolim,34,GEN,,NULL,None Of The Above,NOTA,8,0.03%,Candidate Count,916216,TRUE,Upto 100,247,1%,0,>70,7,Lost,7,1,22440,NOTA,NOTA,None of the Above,S05,Goa,247,247,2017,0
Siolim,6,GEN,,NULL,None Of The Above,NOTA,9,0.02%,Candidate Count,916216,TRUE,Upto 100,212,1%,0,>70,7,Lost,7,1,23496,NOTA,NOTA,None of the Above,S05,Goa,212,212,2017,0
Maem,16,GEN,,NULL,None Of The Above,NOTA,9,0.04%,Candidate Count,916216,TRUE,Upto 100,377,2%,0,>70,6,Lost,6,1,24108,NOTA,NOTA,None of the Above,S05,Goa,377,377,2017,0
Vasco-da-gama,25,GEN,,NULL,None Of The Above,NOTA,9,0.03%,Candidate Count,916216,TRUE,Upto 100,263,1%,0,>70,7,Lost,7,1,26099,NOTA,NOTA,None of the Above,S05,Goa,263,263,2017,0
Sanguem,39,GEN,,NULL,None Of The Above,NOTA,9,0.02%,Candidate Count,916216,TRUE,Upto 100,208,1%,0,>70,7,Lost,7,1,22683,NOTA,NOTA,None of the Above,S05,Goa,208,208,2017,0
St. Cruz,13,GEN,,NULL,None Of The Above,NOTA,10,0.03%,Candidate Count,916216,TRUE,Upto 100,303,1%,0,>70,6,Lost,6,1,22215,NOTA,NOTA,None of the Above,S05,Goa,303,303,2017,0
Dabolim,26,GEN,,NULL,None Of The Above,NOTA,10,0.02%,Candidate Count,916216,TRUE,Upto 100,168,1%,0,>70,6,Lost,6,1,17473,NOTA,NOTA,None of the Above,S05,Goa,168,168,2017,0
St. Andre,14,GEN,,NULL,None Of The Above,NOTA,11,0.02%,Candidate Count,916216,TRUE,Upto 100,152,1%,0,>70,7,Lost,7,1,16554,NOTA,NOTA,None of the Above,S05,Goa,152,152,2017,0
Cortalim,27,GEN,,NULL,None Of The Above,NOTA,11,0.02%,Candidate Count,916216,TRUE,Upto 100,210,1%,0,>70,8,Lost,8,1,23486,NOTA,NOTA,None of the Above,S05,Goa,210,210,2017,0
Velim,35,GEN,,NULL,None Of The Above,NOTA,13,0.03%,Candidate Count,916216,TRUE,Upto 100,260,1%,0,>70,7,Lost,7,1,23527,NOTA,NOTA,None of the Above,S05,Goa,260,260,2017,0
Cumbarjua,15,GEN,53,ST,Pandurang Madkaikar,Male,1,1.35%,Candidate Count,916216,TRUE,5001-10000,12395,60%,1,51-60,1,Won,1,1,20556,BJP,National,Bharatiya Janata Party,S05,Goa,12395,3961,2017,"8,434"
Priol,20,GEN,42,ST,Ramkrishna B. Jalmi,Male,2,0.05%,Candidate Count,916216,TRUE,Upto 100,429,2%,0,41-45,5,Lost,5,1,26945,INC,National,Indian National Congress,S05,Goa,429,429,2017,0
Sanvordem,38,GEN,58,ST,Ganesh Chandru Gaonkar,Male,2,1.02%,Candidate Count,916216,TRUE,Upto 100,9354,37%,0,51-60,2,Lost,2,1,25377,BJP,National,Bharatiya Janata Party,S05,Goa,9354,9354,2017,0
Quepem,36,GEN,46,ST,Joao Fernandes,Male,5,0.15%,Candidate Count,916216,TRUE,Upto 100,1385,5%,0,46-50,3,Lost,3,1,26662,AAAP,State,Aam Aadmi Party,S05,Goa,1385,1385,2017,0
Canacona,40,GEN,48,ST,Ramesh Tawadkar,Male,5,0.84%,Candidate Count,916216,TRUE,Upto 100,7739,27%,0,46-50,3,Lost,3,1,28489,IND,Independent,Independent,S05,Goa,7739,7739,2017,0
Sanguem,39,GEN,40,ST,Prasad S. Gaonkar,Male,7,0.83%,Candidate Count,916216,TRUE,101-1000,7636,34%,1,36-40,1,Won,1,1,22683,IND,Independent,Independent,S05,Goa,7636,6699,2017,937
Sanguem,39,GEN,39,ST,Sudesh Noni Gaunkar,Male,8,0.02%,Candidate Count,916216,TRUE,101-1000,148,1%,0,36-40,8,Lost,8,1,22683,IND,Independent,Independent,S05,Goa,148,148,2017,937
Pernem,2,SC,,NULL,None Of The Above,NOTA,9,0.05%,Candidate Count,916216,TRUE,Upto 100,469,2%,0,>70,4,Lost,4,1,27730,NOTA,NOTA,None of the Above,S05,Goa,469,469,2017,0
Pernem,2,SC,62,SC,Rajendra Arlekar,Male,2,1.06%,Candidate Count,916216,TRUE,Upto 100,9715,35%,0,61-70,2,Lost,2,1,27730,BJP,National,Bharatiya Janata Party,S05,Goa,9715,9715,2017,0
Pernem,2,SC,45,SC,Santosh Shankar Mandrekar,Male,3,0.01%,Candidate Count,916216,TRUE,Upto 100,124,0%,0,41-45,7,Lost,7,1,27730,NCP,National,Nationalist Congress Party,S05,Goa,124,124,2017,0
Pernem,2,SC,43,SC,Vikesh Ramesh Assotikar,Male,4,0.11%,Candidate Count,916216,TRUE,Upto 100,1013,4%,0,41-45,3,Lost,3,1,27730,INC,National,Indian National Congress,S05,Goa,1013,1013,2017,0
Pernem,2,SC,63,SC,Ajgaonkar Manohar Trimbak,Male,1,1.72%,Candidate Count,916216,TRUE,5001-10000,15745,57%,1,61-70,1,Won,1,1,27730,MAG,State,Maharashtrawadi Gomantak,S05,Goa,15745,9715,2017,"6,030"
Pernem,2,SC,40,SC,Shivanand Krishna Pilarnkar,Male,8,0.03%,Candidate Count,916216,TRUE,Upto 100,308,1%,0,36-40,5,Lost,5,1,27730,AAAP,State,Aam Aadmi Party,S05,Goa,308,308,2017,0
Pernem,2,SC,40,SC,Dnyaneswar Sitaram Varkhankar,Male,5,0.01%,Candidate Count,916216,TRUE,Upto 100,71,0%,0,36-40,9,Lost,9,1,27730,GoPrP,Unrecognised,Goa Praja Party,S05,Goa,71,71,2017,0
Pernem,2,SC,48,SC,Gopaldas Anant Arlekar,Male,6,0.02%,Candidate Count,916216,TRUE,Upto 100,180,1%,0,46-50,6,Lost,6,1,27730,GVP,Unrecognised,Goa Vikas Party,S05,Goa,180,180,2017,0
Pernem,2,SC,37,SC,Nitin Mohan Chopdekar,Male,7,0.01%,Candidate Count,916216,TRUE,Upto 100,105,0%,0,36-40,8,Lost,8,1,27730,BMUP,Unrecognised,Bahujan Mukti Party,S05,Goa,105,105,2017,0
